Concept,Concept_Frequency,E_mean,P_mean,A_mean,E_sd,P_sd,A_sd
to anger someone is,100,-2.360999998,1.056999993,1.883999982,1.079271647,1.695642356,1.124270348
to annihilate someone is,100,-3.130999993,2.00808082,2.290999995,1.046658467,2.0857474,1.613897651
to annoy someone is,93,-2.517204298,-0.099999999,1.733333321,1.266424591,1.80307708,1.591098414
to answer someone is,101,2.127722759,1.136633663,0.955445536,1.071831958,1.01584672,1.064938982
to antagonize someone is,100,-2.470999994,0.079000004,1.472999989,1.318117345,1.866033154,1.416059042
to apologize to someone is,93,2.936559135,1.880645153,0.308602151,1.007664646,1.765506336,1.601402625
to appeal to someone is,91,1.840659335,1.010989004,0.546153844,1.397138191,1.672420101,1.559224
to appease someone is,135,0.824444439,-0.304444443,-0.08888889,1.56321839,1.577115569,1.291976764
to applaud someone is,104,2.621153833,1.619417475,2.473076916,1.002973548,1.385149407,1.027035585
to appoint someone is,103,1.482524266,2.110679609,0.68543689,1.333756829,1.068342367,1.216101759
to appreciate someone is,98,3.052040808,1.72040816,0.2927835,0.775558282,1.445502031,1.441804949
to apprehend someone is,90,0.90222222,2.096666654,2.044444427,1.726396371,1.159954462,1.111847438
to approach someone is,102,1.104901954,0.999019606,0.618627448,1.081928729,1.111728211,1.175469601
to approve of someone is,135,2.436296278,1.553333331,0.238518515,0.979461276,1.104387451,1.252638121
to argue with someone is,88,-1.314772719,0.593181815,2.176136361,1.211206264,1.38304971,1.044415284
to arm someone is,90,-0.37222222,1.605555545,1.047777778,1.361511697,1.101210877,1.368032118
to arouse someone is,104,1.774999992,1.990384607,1.167307677,1.312579163,0.983605338,1.29962221
